city,country,latitude,longitude,property_name,property_type,site_review_rating,state,traveller_rating,,,,,,,,,,,,,,,,,,,
Munnar,India,10.021297,77.054798,Broad Bean resort &spa,Hotel,,kerala,Location:5.0/5 | Hospitality:5.0/5 | Facilities:4.0/5 | Cleanliness:4.0/5 | Value for Money:5.0/5 | Food:0.0/5,,,,,,,,,,,,,,,,,,,
Nasik,India,19.9469,73.7654,Feel Like Home,Hotel,,Maharashtra,,,,,,,,,,,,,,,,,,,,
Mysore,India,12.309186,76.662407,Hotel Sandesh The Prince,Hotel,,Karnataka,Location:4.8/5 | Hospitality:4.6/5 | Facilities:4.5/5 | Cleanliness:4.4/5 | Value for Money:4.5/5 | Food:2.1/5,,,,,,,,,,,,,,,,,,,
Hyderabad,India,17.433,78.3681,alcove service apartments jubilee hills,Hotel,,telangana,,,,,,,,,,,,,,,,,,,,
Jabalpur,India,23.1553,79.9257,Hotel Gulzar Towers,Hotel,,Madhya Pradesh,,,,,,,,,,,,,,,,,,,,
Junagarh,India,0,0,Murlidhar Guest House,Hotel,,Junagadh,,,,,,,,,,,,,,,,,,,,
Junagarh,India,0,0,Hotel Shree Krishna and Janta Lodge,Hotel,,Gujarat,,,,,,,,,,,,,,,,,,,,
Kodaikanal,India,0,0,Cubix Cottage,Hotel,,tamil nadu,,,,,,,,,,,,,,,,,,,,
Kolkata,India,22.622087,88.445603,Pipal Tree Hotel,Hotel,,West Bengal,Location:4.6/5 | Hospitality:4.0/5 | Facilities:4.2/5 | Cleanliness:3.7/5 | Value for Money:4.0/5 | Food:2.8/5,,,,,,,,,,,,,,,,,,,
Kanyakumari,India,8.083317,77.549958,HOTEL TEMPLE CITI,Hotel,,Tamil Nadu,Location:0.0/5 | Hospitality:0.0/5 | Facilities:4.8/5 | Cleanliness:4.8/5 | Value for Money:0.0/5 | Food:0.0/5,,,,,,,,,,,,,,,,,,,
Munnar,India,10.073772,77.064231,Archana Residency,Hotel,,kerala,Location:3.9/5 | Hospitality:4.8/5 | Facilities:3.8/5 | Cleanliness:4.1/5 | Value for Money:4.0/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Jamshedpur,India,22.8629259,86.205174,Hotel Golden Leaf Resort,Hotel,,Jharkhand,,,,,,,,,,,,,,,,,,,,
Murudeshwar,India,14.812762,74.13095,Sea View Beach Resort,Hotel,,,Location:2.7/5 | Hospitality:2.3/5 | Facilities:2.0/5 | Cleanliness:2.0/5 | Value for Money:2.3/5 | Food:2.0/5,,,,,,,,,,,,,,,,,,,
Muvattupuzha,India,0,0,Sheela Inn,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nathdwara,India,0,0,Hotel Sudarshan,Hotel,,Rajasthan,Location:4.3/5 | Hospitality:3.5/5 | Facilities:3.3/5 | Cleanliness:4.3/5 | Value for Money:3.0/5 | Food:0.0/5,,,,,,,,,,,,,,,,,,,
Nathdwara,India,24.941213,73.823705,Hotel Gokuldham,Hotel,,Rajasthan,,,,,,,,,,,,,,,,,,,,
Mandawa,India,28.053947,75.148114,Hotel Radhika Haveli Mandawa,Hotel,,Rajasthan,Location:4.2/5 | Hospitality:4.2/5 | Facilities:4.2/5 | Cleanliness:4.2/5 | Value for Money:4.2/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Daman,India,20.438246,72.83072,Devka Beach Homestay,Hotel,,daman,,,,,,,,,,,,,,,,,,,,
Hyderabad,India,17.425058,78.425487,Falcons Nest- Banjara Hills,Hotel,,Andhra Pradesh,Location:3.7/5 | Hospitality:3.9/5 | Facilities:3.4/5 | Cleanliness:3.5/5 | Value for Money:3.9/5 | Food:3.2/5,,,,,,,,,,,,,,,,,,,
Najibabad,India,0,0,Hotel Rajan,Hotel,,UP,,,,,,,,,,,,,,,,,,,,
Munnar,India,10.000891,77.06109,Season7 The Nature Resort,Hotel,,kerala,Location:4.8/5 | Hospitality:5.0/5 | Facilities:5.0/5 | Cleanliness:4.0/5 | Value for Money:5.0/5 | Food:3.2/5,,,,,,,,,,,,,,,,,,,
Shimoga,India,0,0,Rainbow Hospitality Holiday Home NH 13,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.229457,76.327405,Pride Surya Mountain Resort,Hotel,,,Location:4.5/5 | Hospitality:3.6/5 | Facilities:3.4/5 | Cleanliness:3.9/5 | Value for Money:3.6/5 | Food:3.4/5,,,,,,,,,,,,,,,,,,,
Samode,India,0,0,Raj Haveli,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.57127,73.691544,Hotel Panorma Guest House,Hotel,,,Location:4.8/5 | Hospitality:4.5/5 | Facilities:4/5 | Cleanliness:4.2/5 | Value for Money:4.5/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Muvattupuzha,India,0,0,Zeneith homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,13.314376,75.770816,Travelers Bungalow Homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.560496,73.654664,Mountain Ridge,Hotel,,,,,,,,,,,,,,,,,,,,,,
Silchar,India,24.826,92.797,Hotel Borail View,Hotel,,,Location:4.5/5 | Hospitality:4/5 | Facilities:4/5 | Cleanliness:4/5 | Value for Money:4/5 | Food:4/5,,,,,,,,,,,,,,,,,,,
Varanasi,India,25.307481,83.004387,Subh Laxmi PAying Guest House,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dapoli,India,17.780258,73.114559,Lotus Beach Resort-Murud Harnai,Hotel,,,Location:4.7/5 | Hospitality:4.6/5 | Facilities:4.3/5 | Cleanliness:4.6/5 | Value for Money:4.5/5 | Food:4/5,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.115956,91.79831,HOTEL RUDRAKSH INN,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.244113,76.332866,Hotel Bhagsu View,Hotel,,,Location:5/5 | Hospitality:5/5 | Facilities:4/5 | Cleanliness:5/5 | Value for Money:5/5 | Food:5/5,,,,,,,,,,,,,,,,,,,
Nainital,India,29.42301,79.427487,The Hidden Valley Camps and Resorts,Hotel,,,,,,,,,,,,,,,,,,,,,,
Indore,India,0,0,Meraki Inn,Hotel,,,,,,,,,,,,,,,,,,,,,,
DEOGHAR,India,0,0,KAMLA HOTEL,Hotel,,,,,,,,,,,,,,,,,,,,,,
Palampur,India,32.2509,77.1845,Hotel Holiday Home,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,13.268812,75.719553,Tex Woods Resort,Hotel,,,,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.589501,72.713886,Hotel Golden Veena,Hotel,,,,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.5925,72.715556,Couples Paradise Hotel,Hotel,,,,,,,,,,,,,,,,,,,,,,
Pithoragarh,India,29.584397,80.218383,Baakhlee,Hotel,,,,,,,,,,,,,,,,,,,,,,
Varanasi,India,25.302,83.0075,Leela Guest House,Hotel,,,,,,,,,,,,,,,,,,,,,,
Tirupati,India,13.6294,79.4376,Best Western Tirupati,Hotel,,,Location:4.5/5 | Hospitality:4.6/5 | Facilities:4.5/5 | Cleanliness:4.8/5 | Value for Money:4.6/5 | Food:4.4/5,,,,,,,,,,,,,,,,,,,
Lachung,India,0,0,Kongchen Tashi Yangkhel,Hotel,,,,,,,,,,,,,,,,,,,,,,
Satna,India,24.573918,80.839918,Hotel Savera,Hotel,,,Location:4/5 | Hospitality:5/5 | Facilities:5/5 | Cleanliness:5/5 | Value for Money:5/5 | Food:5/5,,,,,,,,,,,,,,,,,,,
Shimoga,India,13.92969,75.570971,Royal Orchid Central,Hotel,,,Location:4.6/5 | Hospitality:4.4/5 | Facilities:4.3/5 | Cleanliness:4.5/5 | Value for Money:4.4/5 | Food:3.9/5,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.18128,91.741128,Hotel City Park,Hotel,,,Location:4.2/5 | Hospitality:4.3/5 | Facilities:3.9/5 | Cleanliness:4/5 | Value for Money:4.2/5 | Food:3.6/5,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.221584,76.315655,Ravine Hotel,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,12.982809,77.655044,Prakruthi Homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Gwalior,India,26.209875,78.187278,Hotel Royal Inn,Hotel,,,Location:4.5/5 | Hospitality:3.8/5 | Facilities:3.3/5 | Cleanliness:3.5/5 | Value for Money:3.8/5 | Food:3.6/5,,,,,,,,,,,,,,,,,,,
Indore,India,22.711088,75.875616,Hotel Rama Inn,Hotel,,,Location:3.5/5 | Hospitality:2.7/5 | Facilities:2.4/5 | Cleanliness:2.3/5 | Value for Money:2.6/5 | Food:1.9/5,,,,,,,,,,,,,,,,,,,
DEOGHAR,India,24.511849,86.696999,Hotel Park View,Hotel,,,,,,,,,,,,,,,,,,,,,,
Indore,India,22.2226,76.0387,Rewa Resort,Hotel,,,,,,,,,,,,,,,,,,,,,,
Idduki,India,9.602654,77.165802,Deervilla Home Stay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.112876,91.750938,Hotel Royal Heritage,Hotel,,,Location:3/5 | Hospitality:3/5 | Facilities:3/5 | Cleanliness:3.8/5 | Value for Money:3/5 | Food:3.5/5,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,13.155903,75.511358,Honeyvale Homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.10184,74.441901,FORT DHARIYAWAD,Hotel,,,,,,,,,,,,,,,,,,,,,,
Indore,India,22.736605,75.773124,Dream World Resort,Hotel,,,Location:4.5/5 | Hospitality:4.8/5 | Facilities:4/5 | Cleanliness:4.2/5 | Value for Money:4.8/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Kohima,India,10.239291,77.497634,Hotel Ruby International,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.576107,73.69744,Hotel Hadi Rani Palace,Hotel,,,Location:3.9/5 | Hospitality:3.8/5 | Facilities:3.4/5 | Cleanliness:3.8/5 | Value for Money:3.8/5 | Food:3.5/5,,,,,,,,,,,,,,,,,,,
Gwalior,India,0,0,Heaven Homes Service Apartment,Hotel,,,,,,,,,,,,,,,,,,,,,,
Palampur,India,32.1011,76.5332,Hotel Highland Regency,Hotel,,,Location:4.2/5 | Hospitality:4.4/5 | Facilities:3.6/5 | Cleanliness:4.2/5 | Value for Money:4.4/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Tirupati,India,13.629449,79.423943,Hotel Pasuparthy Residency,Hotel,,,Location:4.7/5 | Hospitality:4.6/5 | Facilities:4.6/5 | Cleanliness:4.7/5 | Value for Money:4.6/5 | Food:4.4/5,,,,,,,,,,,,,,,,,,,
Indore,India,22.720943,75.876476,Amrit Residency,Hotel,,,Location:4.7/5 | Hospitality:4/5 | Facilities:3.7/5 | Cleanliness:4/5 | Value for Money:4/5 | Food:3.7/5,,,,,,,,,,,,,,,,,,,
Azamgarh,India,26.0529082,83.1760311,STARiHOTEL Azamgarh,Hotel,,,,,,,,,,,,,,,,,,,,,,
Lachung,India,27.6967,88.7484,Delight Hotels Royal Lachung,Hotel,,,Location:4.4/5 | Hospitality:3.8/5 | Facilities:3.3/5 | Cleanliness:3.8/5 | Value for Money:3.8/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Idduki,India,0,0,DOLPHIN RESIDENCY,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,0,0,prakash lodge,Hotel,,,,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.53712,72.795208,Hotel Bhagwati International - 28 kms from Mt Abu,Hotel,,,Location:2.9/5 | Hospitality:3.2/5 | Facilities:3.1/5 | Cleanliness:2.6/5 | Value for Money:3.2/5 | Food:2.8/5,,,,,,,,,,,,,,,,,,,
Kashid,India,0,0,Nisarg Tourist Home,Hotel,,,,,,,,,,,,,,,,,,,,,,
Muvattupuzha,India,0,0,Ambadi tourist home,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dharwad,India,15.44705,75.012814,KARISHMA RESIDENCY,Hotel,,,Location:4.3/5 | Hospitality:3.7/5 | Facilities:3.7/5 | Cleanliness:3.7/5 | Value for Money:3.7/5 | Food:1.3/5,,,,,,,,,,,,,,,,,,,
NubraValley,India,0,0,Natures Nest North Luxury Camps,Hotel,,,,,,,,,,,,,,,,,,,,,,
Shimoga,India,14.211721,74.872552,Ajjanamane Homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nainital,India,29.38999857,79.44644612,Hotel Rio Grand,Hotel,,,,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.590026,72.711359,Hotel Shanti,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dwarika,India,22.248106,68.956723,Hotel Sea View,Hotel,,,,,,,,,,,,,,,,,,,,,,
WeekendGetawaysAroundHyderabad,India,17.44572,78.392557,Horizon Residency,Hotel,,,Location:4.2/5 | Hospitality:4.2/5 | Facilities:4/5 | Cleanliness:4.1/5 | Value for Money:4.2/5 | Food:3.3/5,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.575361,73.692129,Hotel Love Kush,Hotel,,,,,,,,,,,,,,,,,,,,,,
Madurai,India,9.937187,78.144898,Hotel Krishna Residency,Hotel,,,,,,,,,,,,,,,,,,,,,,
Uttarkashi,India,30.807394,78.450815,Kuflon Basics,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,0,0,Koffeewoods Homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Muvattupuzha,India,0,0,Deepika Inn,Hotel,,,,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.588845,72.712088,Hotel Neelkanth,Hotel,,,,,,,,,,,,,,,,,,,,,,
Indore,India,22.725264,75.884699,Hotel Sapphire Star,Hotel,,,Location:4.8/5 | Hospitality:4.3/5 | Facilities:4.3/5 | Cleanliness:4.6/5 | Value for Money:4.3/5 | Food:4.1/5,,,,,,,,,,,,,,,,,,,
Palampur,India,0,0,Earth House,Hotel,,,,,,,,,,,,,,,,,,,,,,
Gwalior,India,26.195253,78.151206,Hotel Shubham Continental,Hotel,,,Location:3.2/5 | Hospitality:3/5 | Facilities:3/5 | Cleanliness:2.8/5 | Value for Money:3/5 | Food:3/5,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.244854,76.332726,OAK VIEW GUEST HOUSE,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.574937,73.699765,Royal Hotel,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nainital,India,0,0,Hotel shanta regency,Hotel,,,,,,,,,,,,,,,,,,,,,,
Tirupati,India,0,0,Sri Himalasya Inn,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dapoli,India,17.753197,73.187528,Home Stay Samudraj Bunglaw,Hotel,,,,,,,,,,,,,,,,,,,,,,
Varanasi,India,25.327417,82.989001,Anand Lodge,Lodge,,,,,,,,,,,,,,,,,,,,,,
Yavatmal,India,0,0,Trupti Restaurant and Bar and Ganesh Residency,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,13.2932,75.8418,Kemmanagundi Homestay,Hotel,,,Location:2/5 | Hospitality:5/5 | Facilities:2/5 | Cleanliness:3/5 | Value for Money:5/5 | Food:4/5,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.254475,76.302009,The Horizon Villa- North,Hotel,,,Location:4.3/5 | Hospitality:4.2/5 | Facilities:3.8/5 | Cleanliness:4.5/5 | Value for Money:4.1/5 | Food:4.1/5,,,,,,,,,,,,,,,,,,,
Indore,India,22.693808,75.867159,Golden Treat,Hotel,,,Location:4.8/5 | Hospitality:4.8/5 | Facilities:4.4/5 | Cleanliness:4.6/5 | Value for Money:4.8/5 | Food:4.4/5,,,,,,,,,,,,,,,,,,,
Lalitpur,India,24.701662,78.420967,Hotel Anand Residency,Hotel,,,Location:3/5 | Hospitality:5/5 | Facilities:3/5 | Cleanliness:4/5 | Value for Money:5/5 | Food:4/5,,,,,,,,,,,,,,,,,,,
Indore,India,22.7242976,75.8255508,Green Tulip,Hotel,,,,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.176553,91.754105,Hotel Amrit Regency,Hotel,,,Location:4.4/5 | Hospitality:4.2/5 | Facilities:3.2/5 | Cleanliness:3.4/5 | Value for Money:4.2/5 | Food:2.8/5,,,,,,,,,,,,,,,,,,,
Indore,India,22.718142,75.872673,Hotel Shreemaya,Hotel,,,Location:4.5/5 | Hospitality:4.6/5 | Facilities:4.4/5 | Cleanliness:4.5/5 | Value for Money:4.6/5 | Food:4.8/5,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,0,0,Hotel Prakash,Hotel,,,,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.132924,91.793251,ROYALE de CASA,Hotel,,,Location:4.7/5 | Hospitality:5/5 | Facilities:5/5 | Cleanliness:5/5 | Value for Money:5/5 | Food:5/5,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.575644,73.69761,Hotel Sneh Palace,Hotel,,,,,,,,,,,,,,,,,,,,,,
DEOGHAR,India,24.493031,86.694157,Clarks Inn Amrapali,Hotel,,,Location:4.5/5 | Hospitality:4/5 | Facilities:4/5 | Cleanliness:4.4/5 | Value for Money:4/5 | Food:3.5/5,,,,,,,,,,,,,,,,,,,
Valsad,India,20.611155,72.932739,HOTEL GRANDEUR,Hotel,,,Location:4/5 | Hospitality:4.3/5 | Facilities:4/5 | Cleanliness:4.3/5 | Value for Money:4.3/5 | Food:4.3/5,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.577736,73.701443,Hotel Surbhi Palace,Hotel,,,Location:4.2/5 | Hospitality:4.2/5 | Facilities:4.2/5 | Cleanliness:4.2/5 | Value for Money:4.2/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Kollam,India,0,0,Raksha Heritage,Hotel,,,,,,,,,,,,,,,,,,,,,,
Tirupati,India,0,0,Raj Residency Deluxe Lodge,Lodge,,,,,,,,,,,,,,,,,,,,,,
Madhupur,India,0,0,Aangan Marraige Hall and Guest house,Hotel,,,,,,,,,,,,,,,,,,,,,,
Washim,India,20.1124,77.1368,Hotel Washimkar Executive,Hotel,,,Location:5/5 | Hospitality:5/5 | Facilities:4.5/5 | Cleanliness:4.5/5 | Value for Money:5/5 | Food:3.5/5,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.548287,73.674983,Devraj Villa,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.567592,73.677763,Jagmandir Island Palace,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nainital,India,29.344583,79.558343,PRIM Resorts - Fredys Bungalow Nainital,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nainital,India,29.365122,79.551659,"Shikha Inn Resort, Bhimtal, 20 kms from Nainital",Hotel,,,Location:4.7/5 | Hospitality:3/5 | Facilities:3.7/5 | Cleanliness:3.7/5 | Value for Money:3/5 | Food:3.3/5,,,,,,,,,,,,,,,,,,,
Patiala,India,30.34058,76.401074,Kaka Hotel,Hotel,,,Location:3/5 | Hospitality:2/5 | Facilities:2/5 | Cleanliness:2/5 | Value for Money:2/5 | Food:2/5,,,,,,,,,,,,,,,,,,,
Indore,India,22.6476809,75.961062,Crescent Resort and Spa Indore,Hotel,,,,,,,,,,,,,,,,,,,,,,
Indore,India,0,0,Hotel Divya Palace,Hotel,,,,,,,,,,,,,,,,,,,,,,
Bhimavaram,India,0,0,Hotel Pranams,Hotel,,,,,,,,,,,,,,,,,,,,,,
Satna,India,0,0,Hotel Apaar Residency,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,13.386439,75.767546,The Spectrum,Hotel,,,,,,,,,,,,,,,,,,,,,,
Baharampur,India,24.0989,88.2577,Hotel Sonali Bangla,Hotel,,,,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.595142,72.720989,Shiv Villa,Hotel,,,Location:3.4/5 | Hospitality:3.4/5 | Facilities:3.3/5 | Cleanliness:3.4/5 | Value for Money:3.4/5 | Food:3.1/5,,,,,,,,,,,,,,,,,,,
Khandwa,India,21.8207,76.3526,Hotel Castle Inn,Hotel,,,Location:4.2/5 | Hospitality:4/5 | Facilities:4.2/5 | Cleanliness:4.5/5 | Value for Money:4/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Tirupati,India,0,0,Hotel Sushma Bording and Lodging,Hotel,,,,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.192823,91.752398,Riverview Guest House,Hotel,,,Location:4.8/5 | Hospitality:3.9/5 | Facilities:3.8/5 | Cleanliness:3.9/5 | Value for Money:3.9/5 | Food:4.1/5,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.592593,72.715625,HG Grandiose Hotel,Hotel,,,Location:4/5 | Hospitality:4/5 | Facilities:3.9/5 | Cleanliness:4.1/5 | Value for Money:3.9/5 | Food:3.9/5,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.218159,76.318479,Hotel Pine Valley,Hotel,,,,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.178655,91.756422,Hotel Green Valley,Hotel,,,Location:4.5/5 | Hospitality:4.2/5 | Facilities:3.8/5 | Cleanliness:4.4/5 | Value for Money:4.2/5 | Food:3.9/5,,,,,,,,,,,,,,,,,,,
NewTehri,India,0,0,Himalayan Eco Lodge,Lodge,,,,,,,,,,,,,,,,,,,,,,
Idduki,India,9.60616,77.16684,The Makam Residencey,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.247138,76.332308,Turkish Cottage,Hotel,,,Location:4.5/5 | Hospitality:3.8/5 | Facilities:3.8/5 | Cleanliness:4/5 | Value for Money:3.8/5 | Food:4/5,,,,,,,,,,,,,,,,,,,
Nainital,India,29.364899,79.551246,Shikha Inn Resort,Hotel,,,Location:3/5 | Hospitality:0/5 | Facilities:3.5/5 | Cleanliness:4/5 | Value for Money:3.5/5 | Food:0/5,,,,,,,,,,,,,,,,,,,
MountAbu,India,0,0,Hotel Kiran Mount Abu,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,0,0,FM Rooms Udaipur,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nainital,India,0,0,hotel avlokhan,Hotel,,,,,,,,,,,,,,,,,,,,,,
Hassan,India,12.995371,76.080464,Hotel Mayura International,Hotel,,,Location:4.3/5 | Hospitality:4.4/5 | Facilities:4.2/5 | Cleanliness:4.4/5 | Value for Money:4.4/5 | Food:4.4/5,,,,,,,,,,,,,,,,,,,
Saputara,India,20.526017,73.751857,Uday Hill Resort,Hotel,,,Location:3.6/5 | Hospitality:3.2/5 | Facilities:3.2/5 | Cleanliness:3.8/5 | Value for Money:3.2/5 | Food:3.2/5,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.576246,73.691181,Hotel Neelam Palace,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nainital,India,29.361723,79.541144,Aamod Resort - Bhimtal,Hotel,,,Location:3.6/5 | Hospitality:3.9/5 | Facilities:3.9/5 | Cleanliness:4.1/5 | Value for Money:3.9/5 | Food:3.8/5,,,,,,,,,,,,,,,,,,,
Dharamshala,India,0,0,PAUL HOUSE,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.535442,73.681425,Singhi Villa Guest House,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nainital,India,29.4471236,79.5621,Kumaon Roop Resort- Ramgarh,Hotel,,,Location:3/5 | Hospitality:0/5 | Facilities:2/5 | Cleanliness:3/5 | Value for Money:3/5 | Food:0/5,,,,,,,,,,,,,,,,,,,
Gwalior,India,26.215473,78.176453,Gulmohar Guest House,Hotel,,,Location:4.7/5 | Hospitality:4.7/5 | Facilities:4.2/5 | Cleanliness:4.5/5 | Value for Money:4.7/5 | Food:3.8/5,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.23864,76.323527,Hotel Buddhas Valley,Hotel,,,,,,,,,,,,,,,,,,,,,,
Kashipur,India,0,0,Hotel Business Inn,Hotel,,,,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.166284,91.777256,Ashirwad Homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Churu,India,28.301673,74.969177,Hotel Malji Ka Kamra,Hotel,,,Location:4/5 | Hospitality:5/5 | Facilities:4/5 | Cleanliness:5/5 | Value for Money:5/5 | Food:5/5,,,,,,,,,,,,,,,,,,,
Nainital,India,29.395323,79.458979,Snow View Huts,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.243818,76.332525,Vikrant Hotel & Restaurant,Hotel,,,Location:4.2/5 | Hospitality:3.2/5 | Facilities:3.2/5 | Cleanliness:3.2/5 | Value for Money:3.2/5 | Food:4/5,,,,,,,,,,,,,,,,,,,
Gwalior,India,26.280869,78.200239,Hotel Gwalior Regency,Hotel,,,Location:4.2/5 | Hospitality:4/5 | Facilities:3.9/5 | Cleanliness:4/5 | Value for Money:4.1/5 | Food:4.1/5,,,,,,,,,,,,,,,,,,,
Kohima,India,0,0,The Classic Aradura Inn,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nainital,India,29.396467,79.444232,Arif Castles,Hotel,,,Location:3.5/5 | Hospitality:4.1/5 | Facilities:3.9/5 | Cleanliness:3.8/5 | Value for Money:3.9/5 | Food:3.4/5,,,,,,,,,,,,,,,,,,,
Nainital,India,29.3659,79.535,Green Glen,Hotel,,,,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.582807,72.722581,Royale Palace,Hotel,,,Location:3.6/5 | Hospitality:2.8/5 | Facilities:2.2/5 | Cleanliness:3.2/5 | Value for Money:2.8/5 | Food:2/5,,,,,,,,,,,,,,,,,,,
Udaipur,India,0,0,Hotel Riddhi Inn,Hotel,,,,,,,,,,,,,,,,,,,,,,
WeekendGetawaysAroundHyderabad,India,17.423613,78.462219,The Park Hyderabad,Hotel,,,Location:4.5/5 | Hospitality:4/5 | Facilities:4.1/5 | Cleanliness:4.3/5 | Value for Money:4/5 | Food:4.1/5,,,,,,,,,,,,,,,,,,,
Kashipur,India,0,0,Hotel royal inn,Hotel,,,,,,,,,,,,,,,,,,,,,,
WeekendGetawaysAroundHyderabad,India,17.444003,78.466197,Kamat Lingapur Hotel,Hotel,,,Location:4.2/5 | Hospitality:4.2/5 | Facilities:3.9/5 | Cleanliness:4.3/5 | Value for Money:4.2/5 | Food:4/5,,,,,,,,,,,,,,,,,,,
Tirupati,India,13.625793,79.431632,Bliss Hotel,Hotel,,,Location:4.5/5 | Hospitality:4.4/5 | Facilities:4.3/5 | Cleanliness:4.3/5 | Value for Money:4.2/5 | Food:4.4/5,,,,,,,,,,,,,,,,,,,
Kollam,India,0,0,Pallimukku homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Tirupati,India,13.629596,79.416871,SRI MEENAKSHI RESIDENCY,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nainital,India,29.382749,79.464581,Welcome Park,Hotel,,,Location:4.2/5 | Hospitality:4.1/5 | Facilities:3.7/5 | Cleanliness:3.8/5 | Value for Money:3.7/5 | Food:4/5,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.18497,91.747367,Star Lodge,Lodge,,,Location:3/5 | Hospitality:3.5/5 | Facilities:3.5/5 | Cleanliness:2.5/5 | Value for Money:3.5/5 | Food:3/5,,,,,,,,,,,,,,,,,,,
Nainital,India,29.382597,79.464409,hotel prashant,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.5809,73.6828,Harsh Vilas Guest House,Hotel,,,Location:5/5 | Hospitality:5/5 | Facilities:5/5 | Cleanliness:4/5 | Value for Money:5/5 | Food:5/5,,,,,,,,,,,,,,,,,,,
